date,plant_group,site_code,reservoir,island_code,lake_level_m,active_storage_mm3,contingent_storage_mm3,total_storage_mm3,quality_code,source_file
1980-01-16,Waitaki river,TKA,Lake Tekapo,SI,710.569,599.507,0.0,599.507,320,SI_TKA_Storage_LakeTekapo.csv
1980-01-16,Waikato river,TPO,Lake Taupo,NI,357.025,718.256,,718.256,320,NI_TPO_Storage_LakeTaupo.csv
1980-01-16,Clutha,WAN,Lake Wanaka,SI,277.663,436.958,,436.958,320,SI_WAN_Storage_LakeWanaka.csv
1980-01-16,Waikaremoana,WKA,Lake Waikaremoana,NI,583.124,148.781,,148.781,320,NI_WKA_Storage_LakeWaikaremoana.csv
1980-01-16,Clutha,WPU,Lake Wakatipu,SI,310.197,395.071,,395.071,320,SI_WPU_Storage_LakeWakatipu.csv
1980-01-17,Clutha,HWE,Lake Hawea,SI,346.555,2242.06,,2242.06,320,SI_HWE_Storage_LakeHawea.csv
1980-01-17,Manapouri,MAN,Lake Manapouri,SI,177.907,283.602,,283.602,320,SI_MAN_Storage_LakeManapouri.csv
1980-01-17,Waitaki river,OHA,Lake Ohau,SI,519.647,12.195,,12.195,320,SI_OHA_Storage_LakeOhau.csv
1980-01-17,Waitaki river,PKI,Lake Pukaki,SI,532.811,2480.835,,2480.835,320,SI_PKI_Storage_LakePukaki.csv
1980-01-17,Manapouri,TAU,Lake Te Anau,SI,202.778,674.899,,674.899,320,SI_TAU_Storage_LakeTeAnau.csv
1980-01-17,Waitaki river,TKA,Lake Tekapo,SI,710.762,618.684,0.0,618.684,320,SI_TKA_Storage_LakeTekapo.csv
1980-01-17,Waikato river,TPO,Lake Taupo,NI,357.053,735.591,,735.591,320,NI_TPO_Storage_LakeTaupo.csv
1980-01-17,Clutha,WAN,Lake Wanaka,SI,277.783,460.117,,460.117,320,SI_WAN_Storage_LakeWanaka.csv
1980-01-17,Waikaremoana,WKA,Lake Waikaremoana,NI,583.151,150.195,,150.195,320,NI_WKA_Storage_LakeWaikaremoana.csv
1980-01-17,Clutha,WPU,Lake Wakatipu,SI,310.268,415.362,,415.362,320,SI_WPU_Storage_LakeWakatipu.csv
1980-01-18,Clutha,HWE,Lake Hawea,SI,346.611,2250.535,,2250.535,320,SI_HWE_Storage_LakeHawea.csv
1980-01-18,Manapouri,MAN,Lake Manapouri,SI,177.928,286.542,,286.542,320,SI_MAN_Storage_LakeManapouri.csv
1980-01-18,Waitaki river,OHA,Lake Ohau,SI,519.649,12.293,,12.293,320,SI_OHA_Storage_LakeOhau.csv
1980-01-18,Waitaki river,PKI,Lake Pukaki,SI,532.8,2478.926,,2478.926,320,SI_PKI_Storage_LakePukaki.csv
1980-01-18,Manapouri,TAU,Lake Te Anau,SI,202.761,668.797,,668.797,320,SI_TAU_Storage_LakeTeAnau.csv
1980-01-18,Waitaki river,TKA,Lake Tekapo,SI,710.814,623.841,0.0,623.841,320,SI_TKA_Storage_LakeTekapo.csv
1980-01-18,Waikato river,TPO,Lake Taupo,NI,357.055,736.779,,736.779,320,NI_TPO_Storage_LakeTaupo.csv
1980-01-18,Clutha,WAN,Lake Wanaka,SI,277.783,460.117,,460.117,320,SI_WAN_Storage_LakeWanaka.csv
1980-01-18,Waikaremoana,WKA,Lake Waikaremoana,NI,583.142,149.724,,149.724,320,NI_WKA_Storage_LakeWaikaremoana.csv
1980-01-18,Clutha,WPU,Lake Wakatipu,SI,310.275,417.505,,417.505,320,SI_WPU_Storage_LakeWakatipu.csv
1980-01-19,Clutha,HWE,Lake Hawea,SI,346.653,2256.816,,2256.816,320,SI_HWE_Storage_LakeHawea.csv
1980-01-19,Manapouri,MAN,Lake Manapouri,SI,178.057,304.502,,304.502,320,SI_MAN_Storage_LakeManapouri.csv
1980-01-19,Waitaki river,OHA,Lake Ohau,SI,519.6,9.268,,9.268,320,SI_OHA_Storage_LakeOhau.csv
1980-01-19,Waitaki river,PKI,Lake Pukaki,SI,532.702,2461.312,,2461.312,320,SI_PKI_Storage_LakePukaki.csv
1980-01-19,Manapouri,TAU,Lake Te Anau,SI,202.819,689.363,,689.363,320,SI_TAU_Storage_LakeTeAnau.csv
1980-01-19,Waitaki river,TKA,Lake Tekapo,SI,710.81,623.479,0.0,623.479,320,SI_TKA_Storage_LakeTekapo.csv
1980-01-19,Waikato river,TPO,Lake Taupo,NI,357.04,727.343,,727.343,320,NI_TPO_Storage_LakeTaupo.csv
1980-01-19,Clutha,WAN,Lake Wanaka,SI,277.802,463.786,,463.786,320,SI_WAN_Storage_LakeWanaka.csv
1980-01-19,Waikaremoana,WKA,Lake Waikaremoana,NI,583.136,149.408,,149.408,320,NI_WKA_Storage_LakeWaikaremoana.csv
1980-01-19,Clutha,WPU,Lake Wakatipu,SI,310.291,421.993,,421.993,320,SI_WPU_Storage_LakeWakatipu.csv
1980-01-20,Clutha,HWE,Lake Hawea,SI,346.699,2263.797,,2263.797,320,SI_HWE_Storage_LakeHawea.csv
1980-01-20,Manapouri,MAN,Lake Manapouri,SI,178.246,330.859,,330.859,320,SI_MAN_Storage_LakeManapouri.csv
1980-01-20,Waitaki river,OHA,Lake Ohau,SI,519.561,6.808,,6.808,320,SI_OHA_Storage_LakeOhau.csv
1980-01-20,Waitaki river,PKI,Lake Pukaki,SI,532.634,2449.043,,2449.043,320,SI_PKI_Storage_LakePukaki.csv
1980-01-20,Manapouri,TAU,Lake Te Anau,SI,202.888,713.431,,713.431,320,SI_TAU_Storage_LakeTeAnau.csv
1980-01-20,Waitaki river,TKA,Lake Tekapo,SI,710.797,622.185,0.0,622.185,320,SI_TKA_Storage_LakeTekapo.csv
1980-01-20,Waikato river,TPO,Lake Taupo,NI,357.056,737.085,,737.085,320,NI_TPO_Storage_LakeTaupo.csv
1980-01-20,Clutha,WAN,Lake Wanaka,SI,277.85,473.051,,473.051,320,SI_WAN_Storage_LakeWanaka.csv
1980-01-20,Waikaremoana,WKA,Lake Waikaremoana,NI,583.133,149.251,,149.251,320,NI_WKA_Storage_LakeWaikaremoana.csv
1980-01-20,Clutha,WPU,Lake Wakatipu,SI,310.332,433.952,,433.952,320,SI_WPU_Storage_LakeWakatipu.csv
1980-01-21,Clutha,HWE,Lake Hawea,SI,346.769,2274.311,,2274.311,320,SI_HWE_Storage_LakeHawea.csv
